"X126","X127_N","X127_C","X128_N","X128_C","X129_N","X129_C","X130_N","X130_C","X131"
0.626518094887362,0.363978094887362,0.590638094887362,0.439028094887362,0.214538094887362,-0.23515,-0.43984,0.28742,0.31552,-0.37449
0.369518094887362,0.174158094887362,0.00135809488736233,0.431828094887362,0.417448094887362,-0.17954,-0.30672,-0.09054,-0.18267,-0.05804
0.0499980948873623,0.692468094887362,0.310388094887362,0.196988094887362,0.263358094887362,0.06475,0.11375,0.09451,0.15285,0.04041
0.599098094887362,0.366398094887362,0.496728094887362,0.209808094887362,0.396768094887362,0.33182,0.24426,0.01599,-0.39386,-0.11989
0.331188094887362,0.391208094887362,0.387058094887362,0.237288094887362,0.440538094887362,0.1069,0.00546,-0.25857,0.12595,0.22546
0.344718094887362,0.307508094887362,0.609528094887362,0.179098094887362,0.239648094887362,0.03737,-0.11471,-0.09615,-0.21677,-0.21627
0.290998094887362,0.235218094887362,0.624818094887362,0.460728094887362,0.160748094887362,0.19282,0.11305,0.33295,-0.09876,0.02013
0.624888094887362,-0.124101905112638,0.313528094887362,0.246908094887362,0.421658094887362,-0.1581,0.15223,0.04882,-0.16168,0.17901
-0.147731905112638,-0.000411905112637667,0.593358094887362,0.462438094887362,0.268928094887362,0.20383,-0.06053,-0.25968,0.07894,0.09282
0.190008094887362,0.583128094887362,0.258948094887362,0.552388094887362,0.128698094887362,0.16646,0.35098,0.03475,0.09025,-0.41269
0.186418094887362,0.283828094887362,0.714728094887362,0.288208094887362,0.780398094887362,-0.3541,0.22752,0.32335,-0.17331,0.13773
0.0531180948873624,0.585498094887362,-0.0146219051126377,0.212088094887362,0.248498094887362,-0.14551,-0.2661,-0.17335,0.06046,0.17358
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.275168094887362,0.135398094887362,0.0117380948873623,0.579218094887362,0.168788094887362,-0.21605,-0.23367,-0.04749,-0.27381,0.078
0.832148094887362,0.266448094887362,0.551878094887362,0.0970680948873623,0.308198094887362,0.01208,-0.07013,-0.06144,0.14687,-0.07586
0.273668094887362,0.281258094887362,0.143788094887362,0.342308094887362,0.125668094887362,-0.00412,0.0512,0.13548,0.24137,-0.02461
0.0614780948873623,0.276698094887362,0.0713480948873623,0.313378094887362,-0.105151905112638,-0.24594,-0.20107,-0.14738,0.49454,0.14194
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0801680948873623,0.395688094887362,0.240338094887362,0.290588094887362,0.212598094887362,0.11837,-0.29474,0.15191,0.00589,0.12812
0.709288094887362,0.299928094887362,0.672008094887362,0.636478094887362,0.497108094887362,-0.35361,0.33228,0.34542,0.40278,-0.12089
0.497148094887362,0.130638094887362,0.424008094887362,0.228458094887362,0.222028094887362,-0.19524,0.24226,-0.57034,-0.04773,0.49192
-0.112761905112638,0.353208094887362,0.293478094887362,-0.0405819051126377,0.0907680948873623,-0.17075,-0.39822,-0.07254,-0.14368,0.55176
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.107598094887362,0.0292780948873623,0.0190380948873624,-0.212091905112638,0.392028094887362,0.26095,-0.07165,0.12773,0.53332,-0.02181
-0.191851905112638,0.372558094887362,-0.00202190511263767,0.729188094887362,0.0184180948873623,0.39968,0.53443,0.8176,-0.8436,-0.33875
0.646128094887362,0.313298094887362,0.482338094887362,0.104298094887362,0.266518094887362,0.03085,-0.13562,0.08401,0.03348,0.20785
0.249888094887362,0.386898094887362,-0.0504019051126376,0.117668094887362,0.830158094887362,-0.14241,0.27244,0.14494,0.46279,-0.03826
0.0478980948873624,0.287778094887362,0.350158094887362,0.200858094887362,0.324138094887362,0.10623,0.06368,-0.21905,0.10213,-0.11566
0.282568094887362,0.552948094887362,0.148678094887362,0.369268094887362,0.449308094887362,-0.33534,-0.12821,-0.11386,0.14863,0.07246
0.336548094887362,0.102108094887362,0.576738094887362,0.149238094887362,0.455838094887362,-0.08579,-0.29458,-0.05996,0.0644,-0.04099
0.518048094887362,-0.0529219051126377,0.545768094887362,0.00327809488736236,0.321398094887362,-0.39665,-0.307,0.47845,0.05876,-0.29385
0.322088094887362,0.339308094887362,0.298178094887362,0.477798094887362,0.126478094887362,0.15961,0.07203,0.15019,-0.19916,-0.05526
