"X126","X127_N","X127_C","X128_N","X128_C","X129_N","X129_C","X130_N","X130_C","X131"
0.711908094887362,0.458188094887362,0.248458094887362,0.429068094887362,-0.0689619051126377,0.34016,-0.55403,-0.29153,0.19641,0.33447
0.0793180948873624,0.406118094887362,0.369768094887362,0.316988094887362,0.234258094887362,-0.11985,0.02125,0.16891,-0.20842,-0.14707
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.377528094887362,0.450028094887362,0.382058094887362,0.397318094887362,0.462308094887362,-0.42255,0.09567,-0.2489,0.06709,0.2429
0.261758094887362,0.213448094887362,0.310348094887362,0.534728094887362,0.335488094887362,0.01997,-0.07334,-0.07083,-0.01877,-0.21334
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.440608094887362,0.0777380948873624,0.872168094887362,0.434648094887362,0.313088094887362,-0.12104,-0.05443,-0.27177,0.01566,0.14401
0.157348094887362,0.0614180948873623,-0.200441905112638,0.504318094887362,0.428938094887362,-0.06775,-0.17668,0.08283,-0.4409,-0.47217
-0.0963619051126376,0.217358094887362,0.550788094887362,0.528768094887362,0.158358094887362,0.41042,-0.33162,-0.14264,-0.21217,0.04609
-0.109011905112638,0.613498094887362,0.618958094887362,0.562508094887362,0.301748094887362,0.28454,0.11979,0.23596,0.04375,0.07192
-0.143131905112638,0.203528094887362,0.545078094887362,0.344218094887362,0.0537380948873624,-0.2109,-0.12231,0.46694,-0.03952,-0.14188
-0.388981905112638,-0.324191905112638,0.737158094887362,0.0327480948873624,0.872698094887362,-0.11181,-0.79035,0.74502,-0.36775,-0.17203
0.337448094887362,0.302488094887362,0.0762280948873623,0.0775380948873624,0.547718094887362,-0.11461,0.13395,0.27629,-0.12606,-0.11437
-0.0245719051126376,0.652258094887362,0.190448094887362,0.256218094887362,0.0847780948873623,0.129,0.2801,0.03954,-0.06964,-0.29029
0.556098094887362,0.430558094887362,0.315488094887362,0.511118094887362,0.525908094887362,-0.07261,-0.19256,0.15132,0.1089,-0.07876
0.838368094887362,-0.0954619051126376,0.320598094887362,0.508398094887362,0.564648094887362,0.15979,0.02429,0.12918,0.0913,-0.00449
0.138058094887362,0.576908094887362,0.248288094887362,0.260208094887362,0.374998094887362,0.00241,-0.41421,-0.08938,0.12836,0.25803
0.150738094887362,0.234298094887362,-0.00718190511263767,0.456168094887362,0.322618094887362,0.10656,-0.07587,0.0288,0.13162,-0.03154
0.448958094887362,0.419818094887362,0.0838580948873623,0.368238094887362,-0.0501719051126376,-0.04168,-0.08269,0.13112,0.04393,-0.08939
0.274628094887362,0.377348094887362,0.0170980948873624,0.117358094887362,-0.0520019051126376,-0.46189,-0.15784,-0.00557,-0.47186,0.14078
0.142668094887362,0.405428094887362,0.360188094887362,0.221528094887362,-0.200131905112638,-0.42885,-0.68197,0.3656,-0.09681,0.51977
-0.0260619051126377,0.676138094887362,0.579148094887362,0.140868094887362,0.492608094887362,0.13897,-0.03507,0.36021,-0.06682,0.48468
0.0523080948873623,0.617838094887362,0.203768094887362,0.401808094887362,0.305768094887362,-0.03002,-0.01986,0.20695,0.00709,0.30642
0.355288094887362,0.373168094887362,0.306208094887362,0.197058094887362,0.383048094887362,0.29189,0.23925,0.2928,0.50937,0.10496
0.398768094887362,1.08809809488736,0.290318094887362,-0.175541905112638,-0.118641905112638,-0.32295,-0.70745,0.69975,-0.29303,0.55211
0.688478094887362,0.259928094887362,0.378828094887362,0.233478094887362,0.770758094887362,-0.16588,0.18119,0.1337,0.14317,0.15754
0.482498094887362,0.481248094887362,0.0880280948873624,0.440338094887362,0.223768094887362,0.74401,0.19186,0.22018,-0.58146,-0.34774
0.176328094887362,0.234408094887362,0.237248094887362,0.417878094887362,0.286548094887362,-0.04451,0.17734,-0.31439,-0.01092,0.12871
0.498938094887362,0.288018094887362,0.250508094887362,0.291918094887362,0.250928094887362,-0.06994,-0.22298,-0.03238,0.03856,-0.09178
0.0641080948873624,-0.0556919051126377,0.232118094887362,0.720858094887362,0.192588094887362,-0.14744,0.64411,-0.45326,0.03301,0.15388
0.195088094887362,0.635618094887362,0.535378094887362,0.336058094887362,0.0125680948873623,0.08569,-0.08501,-0.23479,0.04009,0.15354
